Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Inverted Triangle,Rectangle,Triangle
55.0,191.0,100.0,44.0,Triangle,0.0,0.0,1.0
59.0,176.0,80.0,42.0,Rectangle,0.0,1.0,0.0
29.6,176.0,60.0,41.0,Rectangle,0.0,1.0,0.0
29.4,177.0,80.0,40.0,Triangle,0.0,0.0,1.0
45.0,180.0,70.0,41.0,Rectangle,0.0,1.0,0.0
20.0,195.0,73.0,43.0,Triangle,0.0,0.0,1.0
23.0,185.0,83.0,45.0,Inverted Triangle,1.0,0.0,0.0
51.2,167.0,81.0,40.0,Triangle,0.0,0.0,1.0
47.0,180.0,90.0,42.0,Rectangle,0.0,1.0,0.0
23.0,186.0,70.0,44.0,Inverted Triangle,1.0,0.0,0.0
50.0,192.0,114.0,47.0,Triangle,0.0,0.0,1.0
38.9,174.0,80.0,42.0,Inverted Triangle,1.0,0.0,0.0
47.1,170.0,71.0,41.0,Rectangle,0.0,1.0,0.0
20.8,176.0,73.0,41.5,Rectangle,0.0,1.0,0.0
33.0,175.0,80.0,42.0,Triangle,0.0,0.0,1.0
32.4,172.0,73.0,41.0,Rectangle,0.0,1.0,0.0
24.8,177.0,75.0,43.0,Rectangle,0.0,1.0,0.0
45.0,185.0,104.0,43.5,Triangle,0.0,0.0,1.0
61.0,187.0,110.0,44.0,Triangle,0.0,0.0,1.0
25.7,179.0,61.0,41.5,Rectangle,0.0,1.0,0.0
29.0,193.0,77.0,45.0,Inverted Triangle,1.0,0.0,0.0
30.5,171.0,69.0,42.0,Inverted Triangle,1.0,0.0,0.0
24.7,172.0,69.0,41.0,Rectangle,0.0,1.0,0.0
48.0,191.0,98.0,43.0,Inverted Triangle,1.0,0.0,0.0
46.0,179.0,78.0,43.0,Rectangle,0.0,1.0,0.0
19.0,183.0,75.0,42.0,Rectangle,0.0,1.0,0.0
24.4,172.0,68.0,43.0,Rectangle,0.0,1.0,0.0
38.0,186.0,70.0,43.0,Inverted Triangle,1.0,0.0,0.0
19.5,170.0,60.0,42.5,Rectangle,0.0,1.0,0.0
53.0,183.0,70.0,43.0,Rectangle,0.0,1.0,0.0
41.7,172.0,77.0,41.5,Triangle,0.0,0.0,1.0
20.2,170.0,68.0,43.5,Rectangle,0.0,1.0,0.0
22.6,177.0,67.0,42.5,Rectangle,0.0,1.0,0.0
24.0,184.0,70.0,44.0,Rectangle,0.0,1.0,0.0
30.0,182.0,85.0,42.5,Rectangle,0.0,1.0,0.0
20.7,180.0,75.0,42.0,Triangle,0.0,0.0,1.0
22.4,167.0,59.0,39.0,Inverted Triangle,1.0,0.0,0.0
19.7,176.0,60.0,43.0,Rectangle,0.0,1.0,0.0
32.1,180.0,91.0,43.0,Triangle,0.0,0.0,1.0
45.0,190.0,105.0,46.0,Triangle,0.0,0.0,1.0
31.0,190.0,83.0,44.0,Rectangle,0.0,1.0,0.0
30.0,188.0,88.0,46.0,Rectangle,0.0,1.0,0.0
19.0,195.0,85.0,46.0,Triangle,0.0,0.0,1.0
57.0,183.0,96.0,44.0,Triangle,0.0,0.0,1.0
37.0,178.0,78.0,42.0,Inverted Triangle,1.0,0.0,0.0
57.0,186.0,87.0,43.0,Triangle,0.0,0.0,1.0
31.5,167.0,70.0,43.0,Rectangle,0.0,1.0,0.0
31.0,203.0,102.0,47.0,Rectangle,0.0,1.0,0.0
22.0,180.0,60.0,42.0,Inverted Triangle,1.0,0.0,0.0
26.9,180.0,70.0,42.0,Inverted Triangle,1.0,0.0,0.0
39.9,172.0,67.0,43.0,Rectangle,0.0,1.0,0.0
27.0,183.0,78.0,41.0,Rectangle,0.0,1.0,0.0
50.0,171.0,68.0,41.0,Rectangle,0.0,1.0,0.0
36.0,188.0,115.0,44.0,Triangle,0.0,0.0,1.0
20.6,174.0,70.0,42.5,Rectangle,0.0,1.0,0.0
27.0,189.0,85.0,42.0,Rectangle,0.0,1.0,0.0
32.3,173.0,79.0,41.0,Rectangle,0.0,1.0,0.0
40.0,203.0,115.0,46.0,Rectangle,0.0,1.0,0.0
18.9,172.0,64.0,42.5,Inverted Triangle,1.0,0.0,0.0
20.0,186.0,66.0,42.5,Rectangle,0.0,1.0,0.0
23.5,180.0,66.3,42.5,Inverted Triangle,1.0,0.0,0.0
51.1,170.0,66.0,41.0,Rectangle,0.0,1.0,0.0
30.0,176.0,83.0,43.0,Triangle,0.0,0.0,1.0
53.7,177.0,87.0,43.0,Rectangle,0.0,1.0,0.0
23.1,172.0,60.0,42.0,Rectangle,0.0,1.0,0.0
20.0,194.0,80.6,46.0,Rectangle,0.0,1.0,0.0
43.0,185.0,69.0,44.0,Triangle,0.0,0.0,1.0
20.7,176.0,56.0,42.5,Rectangle,0.0,1.0,0.0
55.0,167.0,105.0,43.0,Triangle,0.0,0.0,1.0
27.1,173.0,71.0,42.5,Inverted Triangle,1.0,0.0,0.0
51.0,188.0,86.0,42.0,Triangle,0.0,0.0,1.0
