"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
790.0,920.0,465.0,960.0,769.0,560.0,458.0,966.0,630.0,950.0,64.7,64.0,72.0
837.0,959.0,446.0,915.0,804.0,510.0,452.0,1068.0,621.0,968.0,68.5,64.31,83.15
789.0,889.0,455.0,960.0,789.0,553.0,433.0,968.0,629.0,927.0,64.9,72.0,84.0
824.0,941.0,427.0,900.0,661.0,509.0,421.0,839.0,566.0,916.0,59.1,64.0,70.0
923.0,1040.0,477.0,1015.0,818.0,603.0,470.0,1055.0,603.0,1011.0,82.7,71.62,91.63
827.0,913.0,473.0,955.0,933.0,548.0,439.0,1057.0,684.0,958.0,73.8,66.27,82.17
1041.0,1100.0,498.0,1053.0,832.0,630.0,448.0,1077.0,645.0,1058.0,92.8,66.72,84.06
965.0,1042.0,509.0,1069.0,857.0,596.0,501.0,1054.0,670.0,1075.0,99.3,70.15,102.25
825.0,970.0,490.0,985.0,897.0,554.0,441.0,1146.0,647.0,995.0,74.0,77.39,95.0
878.0,963.0,485.0,972.0,871.0,594.0,487.0,1049.0,662.0,974.0,78.4,64.99,80.19
806.0,1022.0,480.0,961.0,865.0,553.0,462.0,1042.0,626.0,1044.0,71.1,83.0,84.0
810.0,955.0,463.0,947.0,686.0,535.0,437.0,936.0,595.0,955.0,66.5,61.0,74.0
755.0,874.0,463.0,934.0,779.0,555.0,436.0,1015.0,618.0,880.0,63.7,66.0,79.0
869.0,931.0,452.0,961.0,767.0,536.0,435.0,1016.0,589.0,939.0,71.5,69.69,102.19
