Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,ratio,Inverted Triangle,Rectangle,Triangle,Weight (kg)
19,187,80,44,Rectangle,1.160958904,0,1,0,78
22,196,80,45,Rectangle,1.121452894,0,1,0,80.8
32.6,165,54,39,Inverted Triangle,1.288629738,1,0,0,53.5
31.5,167,70,43,Inverted Triangle,1.176470588,1,0,0,69.7
25.4,177,71,40.5,Inverted Triangle,1.268844221,1,0,0,71
29.9,176,71,42,Rectangle,1.128992629,0,1,0,70.8
37.3,174,79,43,Rectangle,1.161849711,0,1,0,79.6
22.2,170,63,42,Inverted Triangle,1.207643312,1,0,0,63.8
38.1,185,86,43,Inverted Triangle,1.195039459,1,0,0,84.5
25,174,68,41,Triangle,1.087529976,0,0,1,68
58.3,175,75,43,Triangle,1.060445387,0,0,1,75.6
21.8,173,68,42,Rectangle,1.160714286,0,1,0,69
55,185,70,44,Triangle,1.064551422,0,0,1,79.1
41,194,104,48,Rectangle,1.130769231,0,1,0,106.3
24,183,83,42,Triangle,1.054824561,0,0,1,83.6
40,189,75,42,Rectangle,1.169787765,0,1,0,75.6
20,182,70,43,Inverted Triangle,1.186215236,1,0,0,73.8
20,178,69,42,Inverted Triangle,1.201995012,1,0,0,68.5
53,177,65,41,Rectangle,1.119760479,0,1,0,67
26.6,175,80,43,Rectangle,1.167040359,0,1,0,81.1
22.8,179,73,43,Inverted Triangle,1.29528536,1,0,0,71.1
37,178,78,42,Inverted Triangle,1.239485981,1,0,0,82.5
28,177,68,42,Rectangle,1.136200717,0,1,0,70
56,175,105,45,Triangle,1.081132075,0,0,1,105.6
23,182,69,43,Inverted Triangle,1.259872611,1,0,0,70.7
23,183,61,43,Inverted Triangle,1.176315789,1,0,0,65
40.6,170,63,41,Inverted Triangle,1.219544846,1,0,0,61.7
18.6,165,55,41.5,Rectangle,1.139506173,0,1,0,59.9
42,207,130,49,Triangle,1.051235133,0,0,1,125
22,177,70,42,Rectangle,1.122009569,0,1,0,71.2
21,187,70,42.5,Triangle,1.045005488,0,0,1,74.8
20.5,176,72,42.5,Rectangle,1.161856964,0,1,0,71
26,195,70,42,Triangle,1.090261283,0,0,1,72
21.3,174,60,43,Triangle,1.086419753,0,0,1,66.9
37,190,74,45,Triangle,1.080874317,0,0,1,78.5
23.8,178,72,43.5,Rectangle,1.15956151,0,1,0,69.9
20,194,80.6,46,Rectangle,1.137115839,0,1,0,79
20.2,170,68,43.5,Inverted Triangle,1.1925,1,0,0,67.5
24.4,179,70,42.5,Rectangle,1.169082126,0,1,0,68.5
34,181,78,42,Inverted Triangle,1.184986595,1,0,0,64.4
19.1,175,68,41,Inverted Triangle,1.22519084,1,0,0,66.6
44.7,168,70,42,Rectangle,1.139455782,0,1,0,72.6
41,175,75,42,Inverted Triangle,1.204976303,1,0,0,74.4
22,178,82,45,Inverted Triangle,1.222361809,1,0,0,79.6
21.7,189,82,43.5,Triangle,1.038095238,0,0,1,78.5
19,183,65,43,Rectangle,1.141263941,0,1,0,69
24,183,75,42,Triangle,1.09841629,0,0,1,72.6
30.5,171,69,42,Inverted Triangle,1.318897638,1,0,0,66.5
55,200,105,49,Triangle,1.031037827,0,0,1,107
39.9,175,73.5,42,Rectangle,1.129779838,0,1,0,74.5
