"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
825.0,913.0,450.0,980.0,809.0,550.0,441.0,1026.0,652.0,911.0,75.0,87.0
823.0,973.0,480.0,956.0,892.0,560.0,457.0,1072.0,666.0,1014.0,80.0,80.0
768.0,973.0,466.0,870.0,734.0,513.0,454.0,933.0,561.0,978.0,58.0,71.0
851.0,956.0,467.0,996.0,818.0,566.0,433.0,1043.0,615.0,960.0,61.12,81.73
860.0,1029.0,485.0,1033.0,845.0,612.0,488.0,1076.0,641.0,1068.0,77.83,91.16
760.0,894.0,453.0,871.0,822.0,528.0,427.0,1014.0,654.0,925.0,74.0,80.0
951.0,996.0,510.0,1019.0,808.0,570.0,463.0,1050.0,637.0,984.0,64.02,84.17
757.0,914.0,464.0,951.0,841.0,533.0,483.0,1075.0,639.0,966.0,69.4,86.03
806.0,900.0,442.0,933.0,700.0,553.0,426.0,924.0,586.0,914.0,73.0,80.0
870.0,869.0,409.0,991.0,831.0,517.0,411.0,1029.0,601.0,892.0,77.38,99.55
805.0,888.0,481.0,911.0,760.0,514.0,422.0,984.0,616.0,920.0,80.0,87.0
751.0,884.0,460.0,909.0,760.0,533.0,428.0,949.0,585.0,895.0,64.0,73.0
781.0,907.0,466.0,926.0,848.0,532.0,456.0,1052.0,619.0,939.0,70.45,76.09
850.0,980.0,469.0,987.0,674.0,556.0,471.0,902.0,558.0,1040.0,60.32,84.9
940.0,1011.0,490.0,1009.0,750.0,573.0,466.0,921.0,575.0,1025.0,63.0,77.0
797.0,912.0,469.0,963.0,878.0,565.0,449.0,1051.0,659.0,958.0,72.0,74.0
849.0,946.0,497.0,1051.0,977.0,570.0,496.0,1205.0,691.0,1012.0,81.5,111.71
980.0,979.0,515.0,1158.0,918.0,706.0,465.0,1124.0,671.0,972.0,72.63,97.02
988.0,996.0,503.0,1029.0,870.0,565.0,470.0,1130.0,670.0,985.0,73.91,92.33
806.0,1022.0,480.0,961.0,865.0,553.0,462.0,1042.0,626.0,1044.0,83.0,84.0
970.0,1021.0,495.0,1090.0,824.0,644.0,458.0,1057.0,641.0,1008.0,68.76,87.7
905.0,1060.0,506.0,990.0,914.0,563.0,473.0,1122.0,642.0,1060.0,85.42,99.48
994.0,968.0,466.0,1040.0,880.0,545.0,465.0,1102.0,620.0,962.0,75.39,96.17
875.0,1060.0,472.0,1047.0,865.0,618.0,495.0,1063.0,626.0,1067.0,72.26,101.46
823.0,939.0,481.0,964.0,767.0,568.0,460.0,991.0,645.0,986.0,74.0,83.0
793.0,991.0,503.0,945.0,785.0,543.0,457.0,997.0,609.0,990.0,60.0,75.0
893.0,998.0,484.0,1025.0,794.0,595.0,447.0,1007.0,612.0,997.0,68.98,85.15
782.0,898.0,465.0,941.0,770.0,555.0,429.0,999.0,645.0,910.0,72.0,76.0
735.0,814.0,463.0,891.0,792.0,527.0,417.0,1001.0,633.0,846.0,74.0,90.0
724.0,796.0,449.0,931.0,896.0,532.0,428.0,1147.0,646.0,861.0,68.98,93.62
791.0,921.0,485.0,972.0,723.0,543.0,452.0,943.0,624.0,940.0,70.0,76.0
960.0,1006.0,490.0,1111.0,807.0,630.0,462.0,1022.0,602.0,997.0,66.0,80.0
801.0,893.0,438.0,925.0,806.0,546.0,426.0,995.0,636.0,879.0,74.0,80.0
817.0,912.0,442.0,993.0,836.0,586.0,466.0,1022.0,617.0,943.0,72.77,91.86
810.0,924.0,453.0,1019.0,786.0,583.0,476.0,1038.0,609.0,935.0,66.0,83.0
724.0,810.0,425.0,904.0,722.0,512.0,424.0,968.0,619.0,839.0,60.0,73.0
821.0,935.0,466.0,948.0,843.0,552.0,470.0,1009.0,652.0,952.0,72.0,89.0
886.0,983.0,492.0,966.0,856.0,571.0,473.0,1067.0,645.0,1004.0,70.71,93.46
786.0,900.0,460.0,947.0,795.0,568.0,475.0,1017.0,628.0,963.0,59.0,75.0
701.0,851.0,447.0,871.0,780.0,476.0,413.0,993.0,599.0,913.0,66.0,80.0
809.0,936.0,469.0,965.0,787.0,560.0,444.0,1037.0,586.0,952.0,72.0,91.0
805.0,965.0,485.0,940.0,760.0,560.0,469.0,962.0,617.0,985.0,67.0,83.0
962.0,1125.0,487.0,1111.0,820.0,617.0,507.0,988.0,659.0,1099.0,65.0,82.0
703.0,882.0,462.0,895.0,820.0,519.0,436.0,1049.0,640.0,922.0,66.51,84.97
742.0,855.0,462.0,942.0,779.0,544.0,425.0,964.0,615.0,890.0,68.0,78.0
746.0,795.0,441.0,821.0,777.0,479.0,415.0,925.0,567.0,825.0,54.66,69.17
760.0,890.0,486.0,940.0,777.0,566.0,470.0,1017.0,632.0,922.0,74.0,81.0
952.0,1041.0,514.0,1123.0,831.0,689.0,488.0,1073.0,664.0,1074.0,75.33,82.24
904.0,1021.0,495.0,980.0,748.0,549.0,484.0,973.0,622.0,1069.0,68.0,82.0
