"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
1049.0,1179.0,1010.0,481.0,1332.0,696.0,717.0,413.0,977.0,571.0,1008.0,95.5,61.06,76.65
714.0,890.0,761.0,399.0,951.0,761.0,530.0,394.0,1002.0,542.0,867.0,54.1,62.12,78.08
799.0,970.0,790.0,459.0,1068.0,866.0,607.0,445.0,1109.0,600.0,932.0,69.5,67.28,83.39
689.0,849.0,728.0,431.0,1005.0,796.0,557.0,406.0,1000.0,590.0,832.0,56.9,70.0,84.0
674.0,862.0,710.0,415.0,955.0,787.0,555.0,378.0,1030.0,583.0,809.0,53.5,62.0,69.0
710.0,898.0,741.0,408.0,1051.0,773.0,561.0,422.0,1034.0,599.0,843.0,62.7,59.76,84.78
775.0,917.0,722.0,455.0,998.0,802.0,541.0,400.0,987.0,586.0,869.0,59.5,61.0,80.0
723.0,854.0,727.0,431.0,1004.0,736.0,584.0,386.0,942.0,564.0,840.0,57.2,60.0,85.0
693.0,911.0,697.0,436.0,932.0,722.0,503.0,381.0,964.0,546.0,831.0,50.3,62.0,64.0
857.0,1072.0,890.0,439.0,1098.0,805.0,665.0,398.0,1045.0,610.0,922.0,77.9,69.36,67.97
847.0,1031.0,844.0,482.0,990.0,769.0,579.0,421.0,1018.0,569.0,934.0,67.8,59.15,88.77
746.0,952.0,792.0,440.0,1069.0,848.0,602.0,430.0,1088.0,628.0,916.0,70.8,60.01,71.63
904.0,1032.0,844.0,434.0,1021.0,717.0,569.0,422.0,1009.0,566.0,1000.0,73.8,58.07,72.42
771.0,958.0,813.0,445.0,1032.0,752.0,609.0,430.0,989.0,601.0,902.0,66.2,60.21,76.84
856.0,1001.0,879.0,434.0,1010.0,794.0,603.0,408.0,1014.0,600.0,929.0,76.9,67.96,80.4
745.0,886.0,732.0,405.0,952.0,761.0,555.0,404.0,967.0,592.0,834.0,56.3,62.0,76.0
634.0,793.0,699.0,382.0,854.0,701.0,507.0,379.0,908.0,553.0,818.0,43.7,62.0,67.0
