Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
18.2,160.0,51.0,38.0,Rectangle,0.0,0.0,1.0,0.0,51.1
22.0,165.0,55.0,38.0,Hourglass,1.0,0.0,0.0,0.0,55.6
63.0,162.0,66.0,38.0,Rectangle,0.0,0.0,1.0,0.0,67.8
26.7,164.0,53.0,37.0,Hourglass,1.0,0.0,0.0,0.0,52.2
28.5,170.0,56.0,38.5,Rectangle,0.0,0.0,1.0,0.0,56.8
42.0,162.0,79.0,38.0,Rectangle,0.0,0.0,1.0,0.0,79.0
28.7,167.0,48.0,36.5,Rectangle,0.0,0.0,1.0,0.0,44.4
19.8,165.0,53.0,37.0,Triangle,0.0,0.0,0.0,1.0,51.9
30.0,175.0,114.0,42.0,Inverted Triangle,0.0,1.0,0.0,0.0,111.7
26.0,179.0,70.0,40.0,Hourglass,1.0,0.0,0.0,0.0,68.3
35.1,163.0,57.0,37.0,Rectangle,0.0,0.0,1.0,0.0,56.8
26.0,173.0,89.0,39.0,Rectangle,0.0,0.0,1.0,0.0,91.2
44.0,165.0,87.0,38.5,Rectangle,0.0,0.0,1.0,0.0,85.0
36.0,158.0,82.0,37.0,Hourglass,1.0,0.0,0.0,0.0,80.9
26.0,182.0,70.0,41.0,Hourglass,1.0,0.0,0.0,0.0,69.1
54.0,154.0,61.0,38.0,Rectangle,0.0,0.0,1.0,0.0,64.2
58.3,160.0,58.0,37.5,Rectangle,0.0,0.0,1.0,0.0,57.3
26.0,173.0,73.0,39.0,Hourglass,1.0,0.0,0.0,0.0,73.1
20.1,164.0,49.0,36.0,Triangle,0.0,0.0,0.0,1.0,50.4
56.0,164.0,64.0,37.0,Rectangle,0.0,0.0,1.0,0.0,65.0
28.0,163.0,57.0,39.0,Rectangle,0.0,0.0,1.0,0.0,57.1
26.0,170.0,66.0,39.0,Rectangle,0.0,0.0,1.0,0.0,68.2
45.0,163.0,57.0,38.0,Rectangle,0.0,0.0,1.0,0.0,57.1
37.1,165.0,60.0,38.0,Hourglass,1.0,0.0,0.0,0.0,60.3
36.0,186.0,70.0,42.0,Hourglass,1.0,0.0,0.0,0.0,69.1
28.5,173.0,55.0,38.0,Triangle,0.0,0.0,0.0,1.0,54.9
38.0,164.0,81.0,38.0,Rectangle,0.0,0.0,1.0,0.0,77.2
32.3,167.0,54.0,38.0,Hourglass,1.0,0.0,0.0,0.0,55.2
20.1,170.0,55.0,38.5,Rectangle,0.0,0.0,1.0,0.0,53.7
51.0,168.0,90.0,41.0,Hourglass,1.0,0.0,0.0,0.0,95.4
47.0,161.0,56.0,36.0,Triangle,0.0,0.0,0.0,1.0,58.0
33.0,164.0,73.0,38.0,Rectangle,0.0,0.0,1.0,0.0,74.1
46.9,160.0,70.0,39.0,Hourglass,1.0,0.0,0.0,0.0,67.5
35.0,158.0,60.0,37.0,Hourglass,1.0,0.0,0.0,0.0,59.2
32.0,168.0,74.0,39.0,Rectangle,0.0,0.0,1.0,0.0,75.7
27.0,165.0,80.0,40.0,Hourglass,1.0,0.0,0.0,0.0,81.0
21.0,167.0,51.0,39.0,Rectangle,0.0,0.0,1.0,0.0,50.6
64.8,158.0,64.0,36.0,Rectangle,0.0,0.0,1.0,0.0,66.0
31.0,168.0,55.0,36.0,Hourglass,1.0,0.0,0.0,0.0,56.4
27.6,165.0,56.0,37.0,Rectangle,0.0,0.0,1.0,0.0,54.9
