"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
730.0,857.0,739.0,465.0,950.0,840.0,536.0,405.0,1051.0,623.0,845.0,64.0,76.0
755.0,894.0,778.0,402.0,926.0,879.0,540.0,403.0,1077.0,584.0,857.0,75.39,76.13
680.0,733.0,653.0,417.0,889.0,765.0,470.0,365.0,943.0,565.0,729.0,51.0,70.0
811.0,818.0,735.0,430.0,922.0,814.0,515.0,406.0,976.0,633.0,815.0,58.0,63.0
790.0,950.0,805.0,488.0,1045.0,866.0,615.0,425.0,1144.0,667.0,910.0,76.0,80.0
759.0,917.0,809.0,445.0,1007.0,825.0,504.0,432.0,1094.0,598.0,889.0,73.27,88.28
690.0,880.0,725.0,424.0,923.0,762.0,485.0,393.0,986.0,581.0,849.0,58.0,66.0
805.0,1000.0,797.0,435.0,940.0,650.0,515.0,426.0,917.0,548.0,910.0,63.0,66.0
959.0,1078.0,966.0,404.0,1017.0,787.0,556.0,470.0,1042.0,617.0,1057.0,74.41,88.83
811.0,1006.0,833.0,424.0,1152.0,856.0,676.0,434.0,1092.0,608.0,975.0,62.76,89.06
651.0,850.0,733.0,446.0,995.0,722.0,570.0,411.0,1006.0,579.0,831.0,61.0,73.0
812.0,968.0,831.0,455.0,1105.0,850.0,645.0,461.0,1039.0,591.0,950.0,78.61,90.7
734.0,841.0,720.0,420.0,1053.0,715.0,600.0,414.0,916.0,582.0,855.0,60.0,77.0
878.0,885.0,743.0,420.0,1020.0,805.0,610.0,422.0,931.0,608.0,856.0,62.0,81.0
775.0,833.0,709.0,433.0,908.0,753.0,523.0,365.0,934.0,561.0,806.0,60.0,74.0
778.0,894.0,740.0,428.0,1060.0,772.0,620.0,430.0,997.0,573.0,864.0,65.66,81.29
633.0,806.0,693.0,395.0,937.0,745.0,554.0,403.0,964.0,559.0,810.0,68.0,73.0
667.0,784.0,671.0,434.0,892.0,785.0,489.0,393.0,967.0,580.0,790.0,66.0,76.0
726.0,963.0,864.0,449.0,1079.0,837.0,618.0,433.0,1095.0,618.0,989.0,68.94,84.72
808.0,979.0,814.0,414.0,1001.0,665.0,572.0,387.0,924.0,544.0,918.0,54.0,70.0
754.0,924.0,725.0,415.0,1027.0,721.0,646.0,429.0,962.0,527.0,883.0,50.99,75.39
749.0,892.0,734.0,435.0,970.0,721.0,590.0,417.0,911.0,552.0,868.0,62.0,72.0
665.0,815.0,694.0,400.0,952.0,769.0,540.0,405.0,1014.0,587.0,845.0,58.0,69.0
993.0,1125.0,881.0,433.0,1089.0,836.0,645.0,449.0,1085.0,610.0,1050.0,75.94,82.52
