"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
937.0,1009.0,469.0,1037.0,765.0,573.0,477.0,1005.0,615.0,1019.0,76.4,68.0,81.0
750.0,856.0,456.0,931.0,798.0,512.0,395.0,977.0,598.0,883.0,60.1,59.0,75.0
1013.0,1145.0,510.0,1135.0,823.0,627.0,492.0,1029.0,613.0,1111.0,104.5,69.2,81.39
845.0,926.0,445.0,955.0,819.0,575.0,430.0,1077.0,680.0,935.0,66.9,66.0,81.0
791.0,921.0,485.0,972.0,723.0,543.0,452.0,943.0,624.0,940.0,63.5,70.0,76.0
751.0,884.0,460.0,909.0,760.0,533.0,428.0,949.0,585.0,895.0,62.1,64.0,73.0
925.0,1088.0,490.0,1011.0,855.0,591.0,496.0,1003.0,674.0,1068.0,83.9,70.0,83.0
905.0,1057.0,475.0,1030.0,769.0,580.0,487.0,985.0,636.0,1088.0,80.5,63.0,82.0
762.0,918.0,470.0,965.0,846.0,577.0,445.0,1046.0,655.0,921.0,71.4,76.0,85.0
806.0,934.0,465.0,962.0,745.0,570.0,456.0,936.0,581.0,941.0,65.8,62.0,74.0
819.0,907.0,453.0,930.0,868.0,544.0,430.0,1088.0,663.0,924.0,68.7,72.79,89.19
930.0,1008.0,490.0,1063.0,847.0,610.0,471.0,1062.0,672.0,1012.0,88.2,77.45,100.09
921.0,1011.0,432.0,985.0,703.0,505.0,422.0,910.0,554.0,979.0,68.5,66.58,81.76
877.0,947.0,480.0,1018.0,916.0,581.0,463.0,1101.0,701.0,968.0,80.7,67.68,93.02
755.0,843.0,465.0,891.0,780.0,506.0,447.0,990.0,623.0,874.0,60.2,66.0,78.0
902.0,1008.0,492.0,1020.0,827.0,562.0,467.0,1067.0,644.0,1049.0,82.6,70.0,98.0
861.0,950.0,446.0,968.0,782.0,562.0,447.0,1005.0,632.0,982.0,65.6,74.0,84.0
754.0,926.0,479.0,868.0,860.0,500.0,449.0,1031.0,649.0,960.0,62.8,72.0,82.0
920.0,1042.0,486.0,955.0,812.0,572.0,457.0,1062.0,635.0,1073.0,80.3,66.44,89.2
851.0,991.0,480.0,977.0,867.0,582.0,479.0,1084.0,667.0,1012.0,81.1,72.0,82.0
778.0,862.0,458.0,948.0,943.0,532.0,461.0,1185.0,706.0,909.0,74.5,76.04,106.1
811.0,967.0,478.0,995.0,783.0,586.0,432.0,958.0,622.0,949.0,70.5,64.0,84.0
997.0,1081.0,523.0,1045.0,760.0,589.0,507.0,970.0,628.0,1061.0,91.3,63.91,77.57
935.0,954.0,490.0,978.0,755.0,557.0,480.0,982.0,635.0,987.0,74.1,70.0,80.0
930.0,1026.0,543.0,1071.0,862.0,607.0,486.0,1097.0,627.0,1064.0,89.0,70.6,92.71
875.0,1063.0,501.0,1018.0,836.0,597.0,494.0,1018.0,680.0,1053.0,78.5,68.0,82.0
880.0,973.0,491.0,1017.0,835.0,568.0,466.0,1059.0,652.0,962.0,78.0,86.0,98.0
760.0,894.0,453.0,871.0,822.0,528.0,427.0,1014.0,654.0,925.0,60.0,74.0,80.0
878.0,981.0,500.0,1046.0,788.0,633.0,482.0,985.0,602.0,987.0,78.5,74.0,76.0
960.0,994.0,470.0,990.0,772.0,580.0,433.0,1000.0,612.0,956.0,76.5,70.0,78.0
752.0,990.0,497.0,945.0,728.0,580.0,495.0,964.0,618.0,1025.0,70.5,62.0,75.0
682.0,826.0,429.0,816.0,849.0,430.0,402.0,1025.0,654.0,838.0,48.2,72.0,76.0
733.0,784.0,455.0,877.0,864.0,481.0,402.0,1029.0,629.0,824.0,55.9,74.0,79.0
985.0,1087.0,475.0,1015.0,771.0,552.0,491.0,1010.0,619.0,1048.0,77.7,64.0,74.0
739.0,865.0,474.0,879.0,796.0,522.0,443.0,1011.0,607.0,908.0,61.3,68.12,88.55
898.0,982.0,513.0,1019.0,893.0,593.0,460.0,1122.0,675.0,1000.0,84.3,70.37,86.18
1117.0,1154.0,538.0,1184.0,855.0,689.0,492.0,1095.0,673.0,1176.0,115.9,75.48,90.62
