Subject Number,Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
4241,23.7,160.0,47.0,36.5,Rectangle,0.0,0.0,1.0,0.0,47.4
4646,20.5,168.0,63.0,41.5,Rectangle,0.0,0.0,1.0,0.0,63.3
16337,22.0,166.0,60.0,36.0,Hourglass,1.0,0.0,0.0,0.0,63.1
15252,65.0,174.0,90.0,40.0,Rectangle,0.0,0.0,1.0,0.0,97.3
16398,18.0,184.0,61.0,40.0,Rectangle,0.0,0.0,1.0,0.0,61.0
11429,50.0,173.0,63.0,40.0,Hourglass,1.0,0.0,0.0,0.0,63.5
4100,46.9,160.0,70.0,39.0,Hourglass,1.0,0.0,0.0,0.0,67.5
11124,37.0,183.0,115.0,42.0,Rectangle,0.0,0.0,1.0,0.0,119.3
16629,41.0,162.0,58.0,37.0,Hourglass,1.0,0.0,0.0,0.0,60.5
15778,51.0,164.0,99.0,39.0,Rectangle,0.0,0.0,1.0,0.0,99.8
4278,22.1,168.0,53.5,38.0,Triangle,0.0,0.0,0.0,1.0,55.1
4495,26.8,162.0,51.0,37.0,Rectangle,0.0,0.0,1.0,0.0,49.5
15688,32.0,164.0,57.0,38.0,Hourglass,1.0,0.0,0.0,0.0,56.2
4188,24.6,175.0,60.0,40.0,Hourglass,1.0,0.0,0.0,0.0,62.3
4500,20.6,168.0,56.0,38.0,Hourglass,1.0,0.0,0.0,0.0,55.3
4757,20.1,160.0,52.0,37.0,Rectangle,0.0,0.0,1.0,0.0,48.8
4540,24.1,158.0,47.0,37.5,Triangle,0.0,0.0,0.0,1.0,46.4
4178,18.2,160.0,51.0,38.0,Rectangle,0.0,0.0,1.0,0.0,51.1
11441,20.0,180.0,68.0,40.0,Hourglass,1.0,0.0,0.0,0.0,72.1
16268,58.0,155.0,67.0,39.0,Rectangle,0.0,0.0,1.0,0.0,68.3
15446,44.0,175.0,79.5,39.0,Rectangle,0.0,0.0,1.0,0.0,81.0
4008,41.1,157.0,52.0,36.0,Hourglass,1.0,0.0,0.0,0.0,54.3
11112,38.0,164.0,81.0,38.0,Rectangle,0.0,0.0,1.0,0.0,77.2
11439,20.0,167.0,55.0,39.0,Rectangle,0.0,0.0,1.0,0.0,54.0
15562,20.0,176.0,57.0,34.0,Rectangle,0.0,0.0,1.0,0.0,56.5
15590,48.0,168.0,92.0,41.0,Rectangle,0.0,0.0,1.0,0.0,92.4
16768,41.0,162.0,50.0,38.0,Rectangle,0.0,0.0,1.0,0.0,52.3
15401,42.0,170.0,75.0,39.0,Rectangle,0.0,0.0,1.0,0.0,77.4
16414,33.0,162.0,56.0,39.0,Triangle,0.0,0.0,0.0,1.0,53.7
4471,53.1,160.0,55.0,36.5,Rectangle,0.0,0.0,1.0,0.0,56.2
15423,30.0,183.0,73.0,41.0,Rectangle,0.0,0.0,1.0,0.0,73.6
4315,21.4,164.0,53.0,38.0,Hourglass,1.0,0.0,0.0,0.0,57.2
15497,45.0,180.0,67.0,40.0,Rectangle,0.0,0.0,1.0,0.0,68.8
4308,20.1,170.0,55.0,38.5,Rectangle,0.0,0.0,1.0,0.0,53.7
16648,19.0,171.0,61.0,39.0,Hourglass,1.0,0.0,0.0,0.0,58.4
15950,30.0,173.0,65.0,40.0,Rectangle,0.0,0.0,1.0,0.0,67.0
15768,30.0,178.0,69.0,41.0,Hourglass,1.0,0.0,0.0,0.0,73.5
15218,60.0,161.0,97.0,37.0,Inverted Triangle,0.0,1.0,0.0,0.0,93.2
15254,63.0,172.0,113.0,41.0,Rectangle,0.0,0.0,1.0,0.0,113.5
15559,36.0,163.0,61.0,38.0,Rectangle,0.0,0.0,1.0,0.0,62.1
15934,35.0,168.0,68.0,40.0,Hourglass,1.0,0.0,0.0,0.0,70.7
15550,58.0,164.0,107.0,40.0,Rectangle,0.0,0.0,1.0,0.0,107.6
4691,19.6,165.0,52.0,38.5,Rectangle,0.0,0.0,1.0,0.0,51.8
11329,38.0,180.0,73.0,40.0,Hourglass,1.0,0.0,0.0,0.0,69.8
4615,55.9,156.0,65.0,37.0,Rectangle,0.0,0.0,1.0,0.0,67.3
11410,38.0,186.0,140.0,44.0,Triangle,0.0,0.0,0.0,1.0,139.2
4670,31.0,170.0,57.0,38.0,Rectangle,0.0,0.0,1.0,0.0,57.8
4482,23.9,160.0,46.0,36.0,Triangle,0.0,0.0,0.0,1.0,47.6
16200,32.0,176.0,55.0,39.0,Rectangle,0.0,0.0,1.0,0.0,55.7
4070,31.0,160.0,52.0,37.5,Hourglass,1.0,0.0,0.0,0.0,55.6
4618,19.7,160.0,52.0,36.5,Triangle,0.0,0.0,0.0,1.0,52.6
11304,52.0,168.0,87.0,39.0,Rectangle,0.0,0.0,1.0,0.0,89.3
11057,34.0,178.0,54.0,39.0,Rectangle,0.0,0.0,1.0,0.0,60.0
4029,20.3,167.0,56.0,39.0,Rectangle,0.0,0.0,1.0,0.0,58.6
15829,57.0,162.0,67.0,40.0,Rectangle,0.0,0.0,1.0,0.0,77.9
12256,28.0,160.0,68.0,37.0,Hourglass,1.0,0.0,0.0,0.0,70.6
15267,61.0,163.0,77.0,40.0,Rectangle,0.0,0.0,1.0,0.0,81.0
